Code Status For :500,521,522,523,524,533,544,566,577,588	File Updated :02/11/2020
NPA	NXX	Use	OCN 	Company                                                     
500	284	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	285	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	286	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	287	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	288	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	289	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	290	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	291	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	292	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	293	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	294	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	295	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	296	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	297	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	298	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	299	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	300	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	301	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	302	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	303	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	304	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	305	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	306	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	307	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	308	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	309	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	310	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	311	UA	    	                                                            
500	312	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	313	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	314	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	315	AS	9424	PRIME TEL COMMUNICATIONS, INC.                              
500	316	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	317	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	318	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	319	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	320	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	321	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	322	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	323	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	324	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	325	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	326	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	327	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	328	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	329	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	330	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	331	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	332	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	333	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	334	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	335	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	336	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	337	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	338	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	339	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	340	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	341	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	342	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	343	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	344	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	345	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	346	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	347	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	348	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	349	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	350	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	351	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	352	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	353	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	354	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	355	AS	6664	SPRINT SPECTRUM L.P.                                        
500	356	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	357	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	358	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	359	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	360	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	361	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	362	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	363	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	364	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	365	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	366	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	367	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	368	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	369	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	370	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	371	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	372	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	373	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	374	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	375	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	376	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	377	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	378	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	379	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	380	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	381	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	382	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	383	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	384	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	385	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	386	AS	1212	JEFFERSON TELEPHONE CO.                                     
500	387	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	388	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	389	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	390	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	391	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	392	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	393	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	394	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	395	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	396	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	397	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	398	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	399	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	400	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	401	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	402	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
